home,away,fecha,odds_L,odds_E,odds_V
Equipo_Local_1,Equipo_Visitante_1,2024-12-15,2.0722365121165343,3.0326455385626807,2.506568415314045
Equipo_Local_2,Equipo_Visitante_2,2024-12-15,1.9343814891557363,3.455723672561656,4.513650832798085
Equipo_Local_3,Equipo_Visitante_3,2024-12-15,3.310793674191653,3.592093633760543,3.0953549730726397
Equipo_Local_4,Equipo_Visitante_4,2024-12-15,3.1351894884299956,3.1542362404447744,3.4816147902996484
Equipo_Local_5,Equipo_Visitante_5,2024-12-15,2.704087116337156,2.9768871451438543,3.038652033074019
Equipo_Local_6,Equipo_Visitante_6,2024-12-15,3.9095556887058773,3.048580257714942,2.228171956094364
Equipo_Local_7,Equipo_Visitante_7,2024-12-15,2.5464515540598383,3.590337735860148,3.6628743352959114
Equipo_Local_8,Equipo_Visitante_8,2024-12-15,3.2024370680956116,2.9896948481746772,3.780634217624709
Equipo_Local_9,Equipo_Visitante_9,2024-12-15,2.3087509872786844,3.6343033659547674,3.813756179234356
Equipo_Local_10,Equipo_Visitante_10,2024-12-15,1.9971406944382397,2.8646166798440857,1.9364262697185048
Equipo_Local_11,Equipo_Visitante_11,2024-12-15,2.428521419125352,3.065851136654313,3.8674883950800263
Equipo_Local_12,Equipo_Visitante_12,2024-12-15,2.7483345874465455,3.0660192780053803,2.2775608894405637
Equipo_Local_13,Equipo_Visitante_13,2024-12-15,1.817999406718624,3.6646603921404175,2.5791294988955755
Equipo_Local_14,Equipo_Visitante_14,2024-12-15,3.129276619777421,3.610685927986266,3.765060195791156
